"Turbine","bat"
"t1",0.183052780439574
"t2",0.192499750041328
"t3",0.204706906657491
"t4",0.193626093164476
"t5",0.178943898256453
"t6",0.171403492278419
"t7",0.22572338718394
"t8",0.245417898327158
"t9",0.197993157600206
"t10",0.217652462378516
"t11",0.199276240853557
"t12",0.193701688268718
"t13",0.211174342812163
"t14",0.231145396630064
"t15",0.192789794673454
"t16",0.298869728179204
"t17",0.212612837279327
"t18",0.211790529058824
"t19",0.198214580374004
"t20",0.203603484790748
"t21",0.234616963633397
"t22",0.202955205153202
"t23",0.183325747741505
"t24",0.210277556177625
"t25",0.221609866575986
"t26",0.18459528425282
"t27",0.212605258092454
"t28",0.170382271704342
"t29",0.193265803701171
"t30",0.191543697748123
"t31",0.207510811830466
"t32",0.229574331933479
"t33",0.190250626071315
"t34",0.19592440434035
"t35",0.195323818301234
"t36",0.194359405199855
"t37",0.158554103816779
"t38",0.181430713881943
"t39",0.17837820248526
"t40",0.196773751283019
"t41",0.1816589573312
"t42",0.164899760802256
"t43",0.20106993538633
"t44",0.214891271412968
"t45",0.199619770727351
"t46",0.173942432240904
"t47",0.212793935233428
"t48",0.174085398041909
"t49",0.193195298933992
"t50",0.160527737345413
"t51",0.177115378120915
"t52",0.156558349472356
"t53",0.161843618528372
"t54",0.155925079615388
"t55",0.160168772498891
"t56",0.181702949325869
"t57",0.154018160886775
"t58",0.180900758070385
"t59",0.149490011458512
"t60",0.149230813354717
"t61",0.170391425947025
"t62",0.157667411066125
"t63",0.165938601381411
"t64",0.155454346279346
"t65",0.160998488027472
"t66",0.152184791480945
"t67",0.155149984112746
"t68",0.148331981751229
"t69",0.149033228943101
"t70",0.165797081772685
"t71",0.199259116107274
"t72",0.166199908809666
"t73",0.151458800093791
"t74",0.160738888716351
"t75",0.175210731771174
"t76",0.163429901210602
"t77",0.179589300664866
"t78",0.16434478070273
"t79",0.154405879485285
"t80",0.153643918450287
"t81",0.157088751095554
"t82",0.174375555010511
"t83",0.150967433828694
"t84",0.139136301565998
"t85",0.173812032443332
"t86",0.180947037320785
"t87",0.194721652726099
"t88",0.1677415127537
"t89",0.162476838948763
"t90",0.169523552880389
"t91",0.162488113415104
"t92",0.165956751816499
"t93",0.175566449906041
"t94",0.181213211180342
"t95",0.181328919662534
"t96",0.156043781745826
"t97",0.18381086365774
"t98",0.147261528557835
"t99",0.143633334453588
"t100",0.164025180984203
