"Transect","small","med","lrg"
"Transect1",0.36455330112445,0.777452380534221,1
"Transect2",0.36455330112445,0.777452380534221,1
"Transect3",0.36455330112445,0.777452380534221,1
"Transect4",0.36455330112445,0.777452380534221,1
"Transect5",0.36455330112445,0.777452380534221,1
"Transect6",0.36455330112445,0.777452380534221,1
"Transect7",0.36455330112445,0.777452380534221,1
"Transect8",0.36455330112445,0.777452380534221,1
"Transect9",0.36455330112445,0.777452380534221,1
"Transect10",0.36455330112445,0.777452380534221,1
