"Transect","dwp_bat","dwp_small","dwp_med","dwp_lrg"
"Transect1",0.130664265636004,0.36455330112445,0.777452380534221,1
"Transect2",0.130664265636004,0.36455330112445,0.777452380534221,1
"Transect3",0.130664265636004,0.36455330112445,0.777452380534221,1
"Transect4",0.130664265636004,0.36455330112445,0.777452380534221,1
"Transect5",0.130664265636004,0.36455330112445,0.777452380534221,1
"Transect6",0.130664265636004,0.36455330112445,0.777452380534221,1
"Transect7",0.130664265636004,0.36455330112445,0.777452380534221,1
"Transect8",0.130664265636004,0.36455330112445,0.777452380534221,1
"Transect9",0.130664265636004,0.36455330112445,0.777452380534221,1
"Transect10",0.130664265636004,0.36455330112445,0.777452380534221,1
"Transect11",0.130664265636004,0.36455330112445,0.777452380534221,1
"Transect12",0.130664265636004,0.36455330112445,0.777452380534221,1
"Transect13",0.130664265636004,0.36455330112445,0.777452380534221,1
"Transect14",0.130664265636004,0.36455330112445,0.777452380534221,1
"Transect15",0.130664265636004,0.36455330112445,0.777452380534221,1
"Transect16",0.130664265636004,0.36455330112445,0.777452380534221,1
"Transect17",0.130664265636004,0.36455330112445,0.777452380534221,1
"Transect18",0.130664265636004,0.36455330112445,0.777452380534221,1
"Transect19",0.130664265636004,0.36455330112445,0.777452380534221,1
"Transect20",0.130664265636004,0.36455330112445,0.777452380534221,1
"Transect21",0.130664265636004,0.36455330112445,0.777452380534221,1
"Transect22",0.130664265636004,0.36455330112445,0.777452380534221,1
"Transect23",0.130664265636004,0.36455330112445,0.777452380534221,1
"Transect24",0.130664265636004,0.36455330112445,0.777452380534221,1
"Transect25",0.130664265636004,0.36455330112445,0.777452380534221,1
"Transect26",0.130664265636004,0.36455330112445,0.777452380534221,1
"Transect27",0.130664265636004,0.36455330112445,0.777452380534221,1
"Transect28",0.130664265636004,0.36455330112445,0.777452380534221,1
"Transect29",0.130664265636004,0.36455330112445,0.777452380534221,1
"Transect30",0.130664265636004,0.36455330112445,0.777452380534221,1
"Transect31",0.130664265636004,0.36455330112445,0.777452380534221,1
"Transect32",0.130664265636004,0.36455330112445,0.777452380534221,1
"Transect33",0.130664265636004,0.36455330112445,0.777452380534221,1
"Transect34",0.130664265636004,0.36455330112445,0.777452380534221,1
"Transect35",0.130664265636004,0.36455330112445,0.777452380534221,1
"Transect36",0.130664265636004,0.36455330112445,0.777452380534221,1
"Transect37",0.130664265636004,0.36455330112445,0.777452380534221,1
"Transect38",0.130664265636004,0.36455330112445,0.777452380534221,1
"Transect39",0.130664265636004,0.36455330112445,0.777452380534221,1
"Transect40",0.130664265636004,0.36455330112445,0.777452380534221,1
"Transect41",0.130664265636004,0.36455330112445,0.777452380534221,1
"Transect42",0.130664265636004,0.36455330112445,0.777452380534221,1
"Transect43",0.130664265636004,0.36455330112445,0.777452380534221,1
"Transect44",0.130664265636004,0.36455330112445,0.777452380534221,1
"Transect45",0.130664265636004,0.36455330112445,0.777452380534221,1
"Transect46",0.130664265636004,0.36455330112445,0.777452380534221,1
"Transect47",0.130664265636004,0.36455330112445,0.777452380534221,1
"Transect48",0.130664265636004,0.36455330112445,0.777452380534221,1
"Transect49",0.130664265636004,0.36455330112445,0.777452380534221,1
"Transect50",0.130664265636004,0.36455330112445,0.777452380534221,1
"Transect51",0.130664265636004,0.36455330112445,0.777452380534221,1
"Transect52",0.130664265636004,0.36455330112445,0.777452380534221,1
"Transect53",0.130664265636004,0.36455330112445,0.777452380534221,1
"Transect54",0.130664265636004,0.36455330112445,0.777452380534221,1
"Transect55",0.130664265636004,0.36455330112445,0.777452380534221,1
"Transect56",0.130664265636004,0.36455330112445,0.777452380534221,1
"Transect57",0.130664265636004,0.36455330112445,0.777452380534221,1
"Transect58",0.130664265636004,0.36455330112445,0.777452380534221,1
"Transect59",0.130664265636004,0.36455330112445,0.777452380534221,1
"Transect60",0.130664265636004,0.36455330112445,0.777452380534221,1
